Driver,Stint,Compound,GP,Year,StintLength
LEC,2,MEDIUM,Eifel Grand Prix,2020,25
LEC,3,MEDIUM,Eifel Grand Prix,2020,25
MAG,1,SOFT,Eifel Grand Prix,2020,14
MAG,2,MEDIUM,Eifel Grand Prix,2020,20
MAG,3,MEDIUM,Eifel Grand Prix,2020,26
ALB,1,SOFT,Eifel Grand Prix,2020,7
ALB,2,MEDIUM,Eifel Grand Prix,2020,16
KVY,1,MEDIUM,Eifel Grand Prix,2020,17
KVY,2,HARD,Eifel Grand Prix,2020,27
KVY,3,SOFT,Eifel Grand Prix,2020,16
HUL,1,SOFT,Eifel Grand Prix,2020,29
HUL,2,MEDIUM,Eifel Grand Prix,2020,15
HUL,3,SOFT,Eifel Grand Prix,2020,16
RIC,1,SOFT,Eifel Grand Prix,2020,16
RIC,2,MEDIUM,Eifel Grand Prix,2020,28
RIC,3,SOFT,Eifel Grand Prix,2020,16
OCO,1,SOFT,Eifel Grand Prix,2020,22
VER,1,SOFT,Eifel Grand Prix,2020,16
VER,2,MEDIUM,Eifel Grand Prix,2020,29
VER,3,SOFT,Eifel Grand Prix,2020,15
NOR,1,SOFT,Eifel Grand Prix,2020,29
NOR,2,MEDIUM,Eifel Grand Prix,2020,14
HAM,1,SOFT,Eifel Grand Prix,2020,16
HAM,2,MEDIUM,Eifel Grand Prix,2020,29
HAM,3,SOFT,Eifel Grand Prix,2020,15
VET,1,MEDIUM,Eifel Grand Prix,2020,11
VET,2,HARD,Eifel Grand Prix,2020,30
VET,3,SOFT,Eifel Grand Prix,2020,19
SAI,1,SOFT,Eifel Grand Prix,2020,28
SAI,2,MEDIUM,Eifel Grand Prix,2020,16
SAI,3,SOFT,Eifel Grand Prix,2020,16
LAT,1,SOFT,Eifel Grand Prix,2020,14
LAT,2,MEDIUM,Eifel Grand Prix,2020,19
LAT,3,MEDIUM,Eifel Grand Prix,2020,27
RUS,1,SOFT,Eifel Grand Prix,2020,11
RUS,2,MEDIUM,Eifel Grand Prix,2020,2
RAI,1,SOFT,Eifel Grand Prix,2020,10
RAI,2,MEDIUM,Eifel Grand Prix,2020,34
RAI,3,SOFT,Eifel Grand Prix,2020,16
BOT,1,SOFT,Eifel Grand Prix,2020,13
BOT,2,MEDIUM,Eifel Grand Prix,2020,5
GRO,1,MEDIUM,Eifel Grand Prix,2020,28
GRO,2,HARD,Eifel Grand Prix,2020,32
GIO,1,SOFT,Eifel Grand Prix,2020,15
GIO,2,MEDIUM,Eifel Grand Prix,2020,21
GIO,3,MEDIUM,Eifel Grand Prix,2020,24
HAM,1,MEDIUM,Portuguese Grand Prix,2020,40
HAM,2,HARD,Portuguese Grand Prix,2020,26
BOT,1,MEDIUM,Portuguese Grand Prix,2020,41
BOT,2,HARD,Portuguese Grand Prix,2020,25
VER,1,SOFT,Portuguese Grand Prix,2020,23
VER,2,MEDIUM,Portuguese Grand Prix,2020,43
LEC,1,MEDIUM,Portuguese Grand Prix,2020,34
LEC,2,HARD,Portuguese Grand Prix,2020,32
GAS,1,SOFT,Portuguese Grand Prix,2020,28
GAS,2,MEDIUM,Portuguese Grand Prix,2020,37
SAI,1,SOFT,Portuguese Grand Prix,2020,26
SAI,2,MEDIUM,Portuguese Grand Prix,2020,39
PER,1,SOFT,Portuguese Grand Prix,2020,1
PER,2,MEDIUM,Portuguese Grand Prix,2020,44
PER,3,SOFT,Portuguese Grand Prix,2020,20
OCO,1,MEDIUM,Portuguese Grand Prix,2020,53
OCO,2,SOFT,Portuguese Grand Prix,2020,12
RIC,1,SOFT,Portuguese Grand Prix,2020,14
RIC,2,MEDIUM,Portuguese Grand Prix,2020,51
VET,1,MEDIUM,Portuguese Grand Prix,2020,27
VET,2,HARD,Portuguese Grand Prix,2020,38
RAI,1,SOFT,Portuguese Grand Prix,2020,11
RAI,2,MEDIUM,Portuguese Grand Prix,2020,54
ALB,1,SOFT,Portuguese Grand Prix,2020,19
ALB,2,MEDIUM,Portuguese Grand Prix,2020,27
ALB,3,SOFT,Portuguese Grand Prix,2020,19
NOR,1,SOFT,Portuguese Grand Prix,2020,18
NOR,2,HARD,Portuguese Grand Prix,2020,25
NOR,3,MEDIUM,Portuguese Grand Prix,2020,22
RUS,1,MEDIUM,Portuguese Grand Prix,2020,36
RUS,2,HARD,Portuguese Grand Prix,2020,29
GIO,1,MEDIUM,Portuguese Grand Prix,2020,28
GIO,2,HARD,Portuguese Grand Prix,2020,37
MAG,1,HARD,Portuguese Grand Prix,2020,31
MAG,2,MEDIUM,Portuguese Grand Prix,2020,34
GRO,1,MEDIUM,Portuguese Grand Prix,2020,26
GRO,2,HARD,Portuguese Grand Prix,2020,39
LAT,1,MEDIUM,Portuguese Grand Prix,2020,24
LAT,2,HARD,Portuguese Grand Prix,2020,40
KVY,1,MEDIUM,Portuguese Grand Prix,2020,25
KVY,2,HARD,Portuguese Grand Prix,2020,30
KVY,3,SOFT,Portuguese Grand Prix,2020,9
STR,1,MEDIUM,Portuguese Grand Prix,2020,18
STR,2,HARD,Portuguese Grand Prix,2020,16
STR,3,SOFT,Portuguese Grand Prix,2020,17
GAS,1,SOFT,Emilia Romagna Grand Prix,2020,8
PER,1,MEDIUM,Emilia Romagna Grand Prix,2020,27
PER,2,HARD,Emilia Romagna Grand Prix,2020,24
PER,3,SOFT,Emilia Romagna Grand Prix,2020,12
LEC,1,SOFT,Emilia Romagna Grand Prix,2020,13
LEC,2,HARD,Emilia Romagna Grand Prix,2020,50
STR,1,MEDIUM,Emilia Romagna Grand Prix,2020,1
STR,2,HARD,Emilia Romagna Grand Prix,2020,28
STR,3,MEDIUM,Emilia Romagna Grand Prix,2020,23
STR,4,SOFT,Emilia Romagna Grand Prix,2020,11
MAG,1,MEDIUM,Emilia Romagna Grand Prix,2020,27
MAG,2,HARD,Emilia Romagna Grand Prix,2020,20
ALB,1,SOFT,Emilia Romagna Grand Prix,2020,14
ALB,2,HARD,Emilia Romagna Grand Prix,2020,45
ALB,3,SOFT,Emilia Romagna Grand Prix,2020,4
KVY,1,SOFT,Emilia Romagna Grand Prix,2020,14
KVY,2,HARD,Emilia Romagna Grand Prix,2020,37
KVY,3,SOFT,Emilia Romagna Grand Prix,2020,12
RIC,1,SOFT,Emilia Romagna Grand Prix,2020,14
RIC,2,HARD,Emilia Romagna Grand Prix,2020,49
OCO,1,MEDIUM,Emilia Romagna Grand Prix,2020,13
OCO,2,HARD,Emilia Romagna Grand Prix,2020,15
VER,1,MEDIUM,Emilia Romagna Grand Prix,2020,18
VER,2,HARD,Emilia Romagna Grand Prix,2020,33
NOR,1,SOFT,Emilia Romagna Grand Prix,2020,13
NOR,2,MEDIUM,Emilia Romagna Grand Prix,2020,40
NOR,3,SOFT,Emilia Romagna Grand Prix,2020,10
HAM,1,MEDIUM,Emilia Romagna Grand Prix,2020,30
HAM,2,HARD,Emilia Romagna Grand Prix,2020,22
HAM,3,SOFT,Emilia Romagna Grand Prix,2020,11
VET,1,MEDIUM,Emilia Romagna Grand Prix,2020,39
VET,2,HARD,Emilia Romagna Grand Prix,2020,12
VET,3,SOFT,Emilia Romagna Grand Prix,2020,12
SAI,1,SOFT,Emilia Romagna Grand Prix,2020,17
SAI,2,MEDIUM,Emilia Romagna Grand Prix,2020,34
SAI,3,SOFT,Emilia Romagna Grand Prix,2020,12
LAT,1,MEDIUM,Emilia Romagna Grand Prix,2020,34
LAT,2,HARD,Emilia Romagna Grand Prix,2020,29
RUS,1,MEDIUM,Emilia Romagna Grand Prix,2020,11
RUS,2,HARD,Emilia Romagna Grand Prix,2020,41
RAI,1,MEDIUM,Emilia Romagna Grand Prix,2020,48
RAI,2,SOFT,Emilia Romagna Grand Prix,2020,15
BOT,1,MEDIUM,Emilia Romagna Grand Prix,2020,19
BOT,2,HARD,Emilia Romagna Grand Prix,2020,32
BOT,3,SOFT,Emilia Romagna Grand Prix,2020,12
GRO,1,MEDIUM,Emilia Romagna Grand Prix,2020,9
GRO,2,HARD,Emilia Romagna Grand Prix,2020,41
GRO,3,SOFT,Emilia Romagna Grand Prix,2020,13
GIO,1,SOFT,Emilia Romagna Grand Prix,2020,10
GIO,2,MEDIUM,Emilia Romagna Grand Prix,2020,53
GAS,1,MEDIUM,Bahrain Grand Prix,2020,1
GAS,2,HARD,Bahrain Grand Prix,2020,24
GAS,3,HARD,Bahrain Grand Prix,2020,32
PER,1,MEDIUM,Bahrain Grand Prix,2020,1
PER,2,MEDIUM,Bahrain Grand Prix,2020,19
PER,3,HARD,Bahrain Grand Prix,2020,16
PER,4,HARD,Bahrain Grand Prix,2020,18
LEC,1,HARD,Bahrain Grand Prix,2020,1
LEC,2,MEDIUM,Bahrain Grand Prix,2020,22
LEC,3,HARD,Bahrain Grand Prix,2020,17
LEC,4,HARD,Bahrain Grand Prix,2020,16
STR,1,MEDIUM,Bahrain Grand Prix,2020,1
STR,2,MEDIUM,Bahrain Grand Prix,2020,2
MAG,1,MEDIUM,Bahrain Grand Prix,2020,1
MAG,2,HARD,Bahrain Grand Prix,2020,2
MAG,3,HARD,Bahrain Grand Prix,2020,24
MAG,4,HARD,Bahrain Grand Prix,2020,26
MAG,5,SOFT,Bahrain Grand Prix,2020,3
ALB,1,MEDIUM,Bahrain Grand Prix,2020,1
ALB,2,MEDIUM,Bahrain Grand Prix,2020,18
ALB,3,MEDIUM,Bahrain Grand Prix,2020,15
ALB,4,HARD,Bahrain Grand Prix,2020,23
KVY,1,MEDIUM,Bahrain Grand Prix,2020,1
KVY,2,SOFT,Bahrain Grand Prix,2020,16
KVY,3,HARD,Bahrain Grand Prix,2020,16
KVY,4,HARD,Bahrain Grand Prix,2020,23
RIC,1,MEDIUM,Bahrain Grand Prix,2020,1
RIC,2,MEDIUM,Bahrain Grand Prix,2020,15
RIC,3,HARD,Bahrain Grand Prix,2020,20
RIC,4,HARD,Bahrain Grand Prix,2020,21
OCO,1,MEDIUM,Bahrain Grand Prix,2020,1
OCO,2,MEDIUM,Bahrain Grand Prix,2020,16
OCO,3,MEDIUM,Bahrain Grand Prix,2020,17
OCO,4,HARD,Bahrain Grand Prix,2020,23
VER,1,MEDIUM,Bahrain Grand Prix,2020,1
VER,2,MEDIUM,Bahrain Grand Prix,2020,19
VER,3,HARD,Bahrain Grand Prix,2020,14
VER,4,HARD,Bahrain Grand Prix,2020,12
VER,5,MEDIUM,Bahrain Grand Prix,2020,11
NOR,1,MEDIUM,Bahrain Grand Prix,2020,1
NOR,2,MEDIUM,Bahrain Grand Prix,2020,17
NOR,3,MEDIUM,Bahrain Grand Prix,2020,20
NOR,4,HARD,Bahrain Grand Prix,2020,19
HAM,1,MEDIUM,Bahrain Grand Prix,2020,1
HAM,2,MEDIUM,Bahrain Grand Prix,2020,18
HAM,3,MEDIUM,Bahrain Grand Prix,2020,16
HAM,4,HARD,Bahrain Grand Prix,2020,22
VET,1,MEDIUM,Bahrain Grand Prix,2020,1
VET,2,HARD,Bahrain Grand Prix,2020,19
VET,3,MEDIUM,Bahrain Grand Prix,2020,19
VET,4,HARD,Bahrain Grand Prix,2020,17
SAI,1,SOFT,Bahrain Grand Prix,2020,1
SAI,2,SOFT,Bahrain Grand Prix,2020,20
SAI,3,MEDIUM,Bahrain Grand Prix,2020,18
SAI,4,HARD,Bahrain Grand Prix,2020,18
LAT,1,HARD,Bahrain Grand Prix,2020,1
LAT,2,MEDIUM,Bahrain Grand Prix,2020,20
LAT,3,MEDIUM,Bahrain Grand Prix,2020,16
LAT,4,HARD,Bahrain Grand Prix,2020,19
RUS,1,MEDIUM,Bahrain Grand Prix,2020,1
RUS,2,MEDIUM,Bahrain Grand Prix,2020,19
RUS,3,HARD,Bahrain Grand Prix,2020,19
RUS,4,MEDIUM,Bahrain Grand Prix,2020,17
RAI,1,MEDIUM,Bahrain Grand Prix,2020,1
RAI,2,MEDIUM,Bahrain Grand Prix,2020,16
RAI,3,HARD,Bahrain Grand Prix,2020,23
RAI,4,MEDIUM,Bahrain Grand Prix,2020,16
BOT,1,MEDIUM,Bahrain Grand Prix,2020,1
BOT,2,MEDIUM,Bahrain Grand Prix,2020,3
BOT,3,HARD,Bahrain Grand Prix,2020,21
BOT,4,MEDIUM,Bahrain Grand Prix,2020,13
BOT,5,MEDIUM,Bahrain Grand Prix,2020,19
GRO,1,HARD,Bahrain Grand Prix,2020,1
GIO,1,MEDIUM,Bahrain Grand Prix,2020,1
GIO,2,MEDIUM,Bahrain Grand Prix,2020,19
GIO,3,HARD,Bahrain Grand Prix,2020,33
GIO,4,SOFT,Bahrain Grand Prix,2020,3
GAS,1,SOFT,Sakhir Grand Prix,2020,28
GAS,2,MEDIUM,Sakhir Grand Prix,2020,23
GAS,3,HARD,Sakhir Grand Prix,2020,36
PER,1,SOFT,Sakhir Grand Prix,2020,1
PER,2,MEDIUM,Sakhir Grand Prix,2020,46
PER,3,HARD,Sakhir Grand Prix,2020,40
LEC,1,SOFT,Sakhir Grand Prix,2020,1
STR,1,SOFT,Sakhir Grand Prix,2020,42
STR,2,MEDIUM,Sakhir Grand Prix,2020,45
MAG,1,SOFT,Sakhir Grand Prix,2020,26
MAG,2,MEDIUM,Sakhir Grand Prix,2020,28
MAG,3,SOFT,Sakhir Grand Prix,2020,33
ALB,1,MEDIUM,Sakhir Grand Prix,2020,47
ALB,2,HARD,Sakhir Grand Prix,2020,15
ALB,3,SOFT,Sakhir Grand Prix,2020,25
KVY,1,SOFT,Sakhir Grand Prix,2020,27
KVY,2,MEDIUM,Sakhir Grand Prix,2020,26
KVY,3,HARD,Sakhir Grand Prix,2020,34
RIC,1,SOFT,Sakhir Grand Prix,2020,29
RIC,2,MEDIUM,Sakhir Grand Prix,2020,26
RIC,3,HARD,Sakhir Grand Prix,2020,32
OCO,1,MEDIUM,Sakhir Grand Prix,2020,41
OCO,2,HARD,Sakhir Grand Prix,2020,46
VER,1,SOFT,Sakhir Grand Prix,2020,1
NOR,1,SOFT,Sakhir Grand Prix,2020,20
NOR,2,MEDIUM,Sakhir Grand Prix,2020,34
NOR,3,MEDIUM,Sakhir Grand Prix,2020,33
VET,1,MEDIUM,Sakhir Grand Prix,2020,31
VET,2,HARD,Sakhir Grand Prix,2020,23
VET,3,SOFT,Sakhir Grand Prix,2020,9
VET,4,SOFT,Sakhir Grand Prix,2020,24
FIT,1,SOFT,Sakhir Grand Prix,2020,31
FIT,2,MEDIUM,Sakhir Grand Prix,2020,22
FIT,3,SOFT,Sakhir Grand Prix,2020,10
FIT,4,SOFT,Sakhir Grand Prix,2020,24
SAI,1,SOFT,Sakhir Grand Prix,2020,28
SAI,2,MEDIUM,Sakhir Grand Prix,2020,27
SAI,3,MEDIUM,Sakhir Grand Prix,2020,32
LAT,1,SOFT,Sakhir Grand Prix,2020,27
LAT,2,MEDIUM,Sakhir Grand Prix,2020,26
RUS,1,MEDIUM,Sakhir Grand Prix,2020,45
RUS,2,HARD,Sakhir Grand Prix,2020,17
RUS,3,MEDIUM,Sakhir Grand Prix,2020,1
RUS,4,MEDIUM,Sakhir Grand Prix,2020,15
RUS,5,SOFT,Sakhir Grand Prix,2020,9
RAI,1,MEDIUM,Sakhir Grand Prix,2020,23
RAI,2,HARD,Sakhir Grand Prix,2020,31
RAI,3,MEDIUM,Sakhir Grand Prix,2020,8
RAI,4,SOFT,Sakhir Grand Prix,2020,25
BOT,1,MEDIUM,Sakhir Grand Prix,2020,49
BOT,2,HARD,Sakhir Grand Prix,2020,13
BOT,3,HARD,Sakhir Grand Prix,2020,25
AIT,1,MEDIUM,Sakhir Grand Prix,2020,31
AIT,2,HARD,Sakhir Grand Prix,2020,23
AIT,3,MEDIUM,Sakhir Grand Prix,2020,5
AIT,4,SOFT,Sakhir Grand Prix,2020,28
GIO,1,MEDIUM,Sakhir Grand Prix,2020,26
GIO,2,HARD,Sakhir Grand Prix,2020,28
GIO,3,MEDIUM,Sakhir Grand Prix,2020,33
GAS,1,SOFT,Abu Dhabi Grand Prix,2020,10
GAS,2,HARD,Abu Dhabi Grand Prix,2020,45
PER,1,HARD,Abu Dhabi Grand Prix,2020,9
LEC,1,MEDIUM,Abu Dhabi Grand Prix,2020,22
LEC,2,HARD,Abu Dhabi Grand Prix,2020,32
STR,1,SOFT,Abu Dhabi Grand Prix,2020,10
STR,2,HARD,Abu Dhabi Grand Prix,2020,45
MAG,1,HARD,Abu Dhabi Grand Prix,2020,31
MAG,2,MEDIUM,Abu Dhabi Grand Prix,2020,16
MAG,3,MEDIUM,Abu Dhabi Grand Prix,2020,7
ALB,1,SOFT,Abu Dhabi Grand Prix,2020,10
ALB,2,HARD,Abu Dhabi Grand Prix,2020,45
KVY,1,SOFT,Abu Dhabi Grand Prix,2020,10
KVY,2,HARD,Abu Dhabi Grand Prix,2020,44
RIC,1,HARD,Abu Dhabi Grand Prix,2020,39
RIC,2,MEDIUM,Abu Dhabi Grand Prix,2020,16
OCO,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
OCO,2,HARD,Abu Dhabi Grand Prix,2020,45
VER,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
VER,2,HARD,Abu Dhabi Grand Prix,2020,45
NOR,1,SOFT,Abu Dhabi Grand Prix,2020,10
NOR,2,HARD,Abu Dhabi Grand Prix,2020,45
HAM,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
HAM,2,HARD,Abu Dhabi Grand Prix,2020,45
VET,1,HARD,Abu Dhabi Grand Prix,2020,35
VET,2,MEDIUM,Abu Dhabi Grand Prix,2020,19
FIT,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
FIT,2,HARD,Abu Dhabi Grand Prix,2020,24
FIT,3,MEDIUM,Abu Dhabi Grand Prix,2020,14
FIT,4,SOFT,Abu Dhabi Grand Prix,2020,5
SAI,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
SAI,2,HARD,Abu Dhabi Grand Prix,2020,45
LAT,1,MEDIUM,Abu Dhabi Grand Prix,2020,11
LAT,2,HARD,Abu Dhabi Grand Prix,2020,24
LAT,3,MEDIUM,Abu Dhabi Grand Prix,2020,19
RUS,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
RUS,2,HARD,Abu Dhabi Grand Prix,2020,44
RAI,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
RAI,2,HARD,Abu Dhabi Grand Prix,2020,44
BOT,1,MEDIUM,Abu Dhabi Grand Prix,2020,10
BOT,2,HARD,Abu Dhabi Grand Prix,2020,45
GIO,1,MEDIUM,Abu Dhabi Grand Prix,2020,27
GIO,2,HARD,Abu Dhabi Grand Prix,2020,27
HAM,1,MEDIUM,Bahrain Grand Prix,2021,13
HAM,2,HARD,Bahrain Grand Prix,2021,15
HAM,3,HARD,Bahrain Grand Prix,2021,28
VER,1,MEDIUM,Bahrain Grand Prix,2021,17
VER,2,MEDIUM,Bahrain Grand Prix,2021,22
VER,3,HARD,Bahrain Grand Prix,2021,17
BOT,1,MEDIUM,Bahrain Grand Prix,2021,16
BOT,2,HARD,Bahrain Grand Prix,2021,14
BOT,3,HARD,Bahrain Grand Prix,2021,24
BOT,4,MEDIUM,Bahrain Grand Prix,2021,2
NOR,1,SOFT,Bahrain Grand Prix,2021,12
NOR,2,MEDIUM,Bahrain Grand Prix,2021,21
NOR,3,HARD,Bahrain Grand Prix,2021,23
PER,1,MEDIUM,Bahrain Grand Prix,2021,2
PER,2,MEDIUM,Bahrain Grand Prix,2021,17
PER,3,HARD,Bahrain Grand Prix,2021,19
PER,4,MEDIUM,Bahrain Grand Prix,2021,18
LEC,1,SOFT,Bahrain Grand Prix,2021,12
LEC,2,MEDIUM,Bahrain Grand Prix,2021,20
LEC,3,HARD,Bahrain Grand Prix,2021,24
RIC,1,SOFT,Bahrain Grand Prix,2021,13
RIC,2,MEDIUM,Bahrain Grand Prix,2021,19
RIC,3,HARD,Bahrain Grand Prix,2021,24
SAI,1,SOFT,Bahrain Grand Prix,2021,15
SAI,2,MEDIUM,Bahrain Grand Prix,2021,22
SAI,3,HARD,Bahrain Grand Prix,2021,19
TSU,1,MEDIUM,Bahrain Grand Prix,2021,15
TSU,2,HARD,Bahrain Grand Prix,2021,18
TSU,3,HARD,Bahrain Grand Prix,2021,23
STR,1,SOFT,Bahrain Grand Prix,2021,12
STR,2,MEDIUM,Bahrain Grand Prix,2021,16
STR,3,HARD,Bahrain Grand Prix,2021,28
RAI,1,MEDIUM,Bahrain Grand Prix,2021,13
RAI,2,HARD,Bahrain Grand Prix,2021,16
RAI,3,MEDIUM,Bahrain Grand Prix,2021,27
GIO,1,MEDIUM,Bahrain Grand Prix,2021,12
GIO,2,HARD,Bahrain Grand Prix,2021,18
GIO,3,MEDIUM,Bahrain Grand Prix,2021,25
OCO,1,SOFT,Bahrain Grand Prix,2021,13
OCO,2,MEDIUM,Bahrain Grand Prix,2021,18
OCO,3,HARD,Bahrain Grand Prix,2021,24
RUS,1,SOFT,Bahrain Grand Prix,2021,13
RUS,2,MEDIUM,Bahrain Grand Prix,2021,23
RUS,3,MEDIUM,Bahrain Grand Prix,2021,19
VET,1,MEDIUM,Bahrain Grand Prix,2021,24
VET,2,HARD,Bahrain Grand Prix,2021,31
MSC,1,MEDIUM,Bahrain Grand Prix,2021,14
MSC,2,MEDIUM,Bahrain Grand Prix,2021,19
MSC,3,HARD,Bahrain Grand Prix,2021,22
GAS,1,MEDIUM,Bahrain Grand Prix,2021,4
GAS,2,HARD,Bahrain Grand Prix,2021,15
GAS,3,MEDIUM,Bahrain Grand Prix,2021,20
GAS,4,HARD,Bahrain Grand Prix,2021,13
LAT,1,SOFT,Bahrain Grand Prix,2021,14
LAT,2,MEDIUM,Bahrain Grand Prix,2021,18
LAT,3,MEDIUM,Bahrain Grand Prix,2021,19
ALO,1,SOFT,Bahrain Grand Prix,2021,11
ALO,2,MEDIUM,Bahrain Grand Prix,2021,18
ALO,3,HARD,Bahrain Grand Prix,2021,3
MAZ,1,MEDIUM,Bahrain Grand Prix,2021,1
GAS,1,SOFT,Portuguese Grand Prix,2021,2
GAS,2,SOFT,Portuguese Grand Prix,2021,1
GAS,3,SOFT,Portuguese Grand Prix,2021,21
GAS,4,MEDIUM,Portuguese Grand Prix,2021,42
PER,1,MEDIUM,Portuguese Grand Prix,2021,2
PER,2,MEDIUM,Portuguese Grand Prix,2021,1
PER,3,MEDIUM,Portuguese Grand Prix,2021,48
PER,4,SOFT,Portuguese Grand Prix,2021,15
ALO,1,MEDIUM,Portuguese Grand Prix,2021,2
ALO,2,MEDIUM,Portuguese Grand Prix,2021,1
ALO,3,MEDIUM,Portuguese Grand Prix,2021,37
ALO,4,HARD,Portuguese Grand Prix,2021,26
LEC,1,MEDIUM,Portuguese Grand Prix,2021,2
LEC,2,MEDIUM,Portuguese Grand Prix,2021,1
LEC,3,MEDIUM,Portuguese Grand Prix,2021,22
LEC,4,HARD,Portuguese Grand Prix,2021,41
STR,1,SOFT,Portuguese Grand Prix,2021,2
STR,2,SOFT,Portuguese Grand Prix,2021,1
STR,3,SOFT,Portuguese Grand Prix,2021,36
STR,4,MEDIUM,Portuguese Grand Prix,2021,26
TSU,1,MEDIUM,Portuguese Grand Prix,2021,2
TSU,2,MEDIUM,Portuguese Grand Prix,2021,1
TSU,3,MEDIUM,Portuguese Grand Prix,2021,18
TSU,4,HARD,Portuguese Grand Prix,2021,44
RIC,1,MEDIUM,Portuguese Grand Prix,2021,2
RIC,2,MEDIUM,Portuguese Grand Prix,2021,1
RIC,3,MEDIUM,Portuguese Grand Prix,2021,38
RIC,4,HARD,Portuguese Grand Prix,2021,25
OCO,1,SOFT,Portuguese Grand Prix,2021,2
OCO,2,SOFT,Portuguese Grand Prix,2021,1
OCO,3,SOFT,Portuguese Grand Prix,2021,19
OCO,4,HARD,Portuguese Grand Prix,2021,44
VER,1,MEDIUM,Portuguese Grand Prix,2021,2
VER,2,MEDIUM,Portuguese Grand Prix,2021,1
VER,3,MEDIUM,Portuguese Grand Prix,2021,32
VER,4,HARD,Portuguese Grand Prix,2021,29
VER,5,SOFT,Portuguese Grand Prix,2021,2
NOR,1,SOFT,Portuguese Grand Prix,2021,2
NOR,2,SOFT,Portuguese Grand Prix,2021,1
NOR,3,SOFT,Portuguese Grand Prix,2021,19
NOR,4,MEDIUM,Portuguese Grand Prix,2021,44
HAM,1,MEDIUM,Portuguese Grand Prix,2021,2
HAM,2,MEDIUM,Portuguese Grand Prix,2021,1
HAM,3,MEDIUM,Portuguese Grand Prix,2021,34
HAM,4,HARD,Portuguese Grand Prix,2021,29
MSC,1,MEDIUM,Portuguese Grand Prix,2021,2
MSC,2,MEDIUM,Portuguese Grand Prix,2021,1
MSC,3,MEDIUM,Portuguese Grand Prix,2021,29
MSC,4,HARD,Portuguese Grand Prix,2021,32
VET,1,SOFT,Portuguese Grand Prix,2021,2
VET,2,SOFT,Portuguese Grand Prix,2021,1
VET,3,SOFT,Portuguese Grand Prix,2021,19
VET,4,MEDIUM,Portuguese Grand Prix,2021,43
SAI,1,SOFT,Portuguese Grand Prix,2021,2
SAI,2,SOFT,Portuguese Grand Prix,2021,1
SAI,3,SOFT,Portuguese Grand Prix,2021,18
SAI,4,MEDIUM,Portuguese Grand Prix,2021,45
LAT,1,MEDIUM,Portuguese Grand Prix,2021,2
LAT,2,MEDIUM,Portuguese Grand Prix,2021,1
LAT,3,MEDIUM,Portuguese Grand Prix,2021,21
LAT,4,HARD,Portuguese Grand Prix,2021,40
RUS,1,MEDIUM,Portuguese Grand Prix,2021,2
RUS,2,MEDIUM,Portuguese Grand Prix,2021,1
RUS,3,MEDIUM,Portuguese Grand Prix,2021,25
RUS,4,HARD,Portuguese Grand Prix,2021,37
RAI,1,SOFT,Portuguese Grand Prix,2021,2
BOT,1,MEDIUM,Portuguese Grand Prix,2021,2
BOT,2,MEDIUM,Portuguese Grand Prix,2021,1
BOT,3,MEDIUM,Portuguese Grand Prix,2021,33
BOT,4,HARD,Portuguese Grand Prix,2021,27
BOT,5,SOFT,Portuguese Grand Prix,2021,3
MAZ,1,MEDIUM,Portuguese Grand Prix,2021,2
MAZ,2,MEDIUM,Portuguese Grand Prix,2021,1
MAZ,3,MEDIUM,Portuguese Grand Prix,2021,28
MAZ,4,HARD,Portuguese Grand Prix,2021,12
MAZ,5,SOFT,Portuguese Grand Prix,2021,21
GIO,1,MEDIUM,Portuguese Grand Prix,2021,2
GIO,2,MEDIUM,Portuguese Grand Prix,2021,1
GIO,3,MEDIUM,Portuguese Grand Prix,2021,19
GIO,4,HARD,Portuguese Grand Prix,2021,43
GAS,1,SOFT,Spanish Grand Prix,2021,18
GAS,2,MEDIUM,Spanish Grand Prix,2021,29
GAS,3,SOFT,Spanish Grand Prix,2021,18
PER,1,SOFT,Spanish Grand Prix,2021,27
PER,2,MEDIUM,Spanish Grand Prix,2021,30
PER,3,SOFT,Spanish Grand Prix,2021,9
ALO,1,SOFT,Spanish Grand Prix,2021,21
ALO,2,MEDIUM,Spanish Grand Prix,2021,40
ALO,3,SOFT,Spanish Grand Prix,2021,4
LEC,1,SOFT,Spanish Grand Prix,2021,28
LEC,2,MEDIUM,Spanish Grand Prix,2021,30
LEC,3,SOFT,Spanish Grand Prix,2021,8
STR,1,SOFT,Spanish Grand Prix,2021,22
STR,2,MEDIUM,Spanish Grand Prix,2021,17
STR,3,SOFT,Spanish Grand Prix,2021,26
TSU,1,SOFT,Spanish Grand Prix,2021,7
RIC,1,SOFT,Spanish Grand Prix,2021,25
RIC,2,MEDIUM,Spanish Grand Prix,2021,21
RIC,3,SOFT,Spanish Grand Prix,2021,20
OCO,1,SOFT,Spanish Grand Prix,2021,23
OCO,2,MEDIUM,Spanish Grand Prix,2021,42
VER,1,SOFT,Spanish Grand Prix,2021,24
VER,2,MEDIUM,Spanish Grand Prix,2021,36
